S/N,Date,Tweets
73,25/08/24,If you Dey find help sell your phone
74,24/08/24,Symbol of wealth at a time 💨🛸🤤
75,24/08/24,Why e be say na babes Dey enjoy my tweet pass ?
76,23/08/24,"You no get money you dey find boyfriend, you wan suffer the boy😒"
77,22/08/24,"Who fit beg Nigerians, when dem go listen for this bolt wars?"
78,22/08/24,"It’s like na only @elonmusk fit settle this South Africa/ Nigeria problem 💨🛸🪵 

na for he app he start 🍿"
79,22/08/24,I know say na South African tinder many of una go sleep this night 😂🤣
80,22/08/24,"59.89m people Wan fight 200million people ? 

Country When 180 million no get work 😂🤣"
81,22/08/24,"Which of una go order hook up come still order bolt for her??? 

Double wahala"
82,22/08/24,"The condition that will force us to start selling our properties to be able to solve problems will never befall us...

🙏❤️"
83,22/08/24,"This Nigeria vs South African fight don turn to tech war ??? 

Who bolt offend ??? 💨🪵🛸"
84,22/08/24,Who say na cooperation make rice full port ?
85,22/08/24,In short make dem ban everything 🙂‍↔️
86,22/08/24,Who taught Africans to hate their fellow Africans ?
87,21/08/24,"Man dey lie give you, you dey do aww🥰"
88,21/08/24,Zero na the best place to start 💨💦
89,21/08/24,How much is dollar today?
90,21/08/24,Because she no sue una for defamation of character ??
91,21/08/24,Las las na baddie finish Samson with all the power when e get 💨🤤
92,21/08/24,How many boyfriends jezebel get before he marry ?
93,21/08/24,Who be Goliath papa ?
94,20/08/24,Na evil forest I Dey crave like dis 💨🛸
95,20/08/24,Make dem ban demure 🤤
96,20/08/24,"You never notice say for Nigeria no body dey pray for long life again? 

Na money everybody dey pray for…"
97,20/08/24,Some of una Dey hustle like say na hungry kill una for una forma life ?
98,20/08/24,Can prayers alone really fix this country?
99,20/08/24,Protect your seeds the world is in a mess
100,20/08/24,"Lord, if my mistakes have ever led to someone's pain, please bring them peace and healing and forgive me for my shortcomings."
101,20/08/24,"WHAT IF BATMAN NA JUST RICH BASTARD WHEN DEY BORED E COME DEY
BEAT POOR PEOPLE??"
102,19/08/24,Small business….
103,19/08/24,A musician you wish was still alive
104,19/08/24,Person na ashawo una dey call am baddie
105,19/08/24,Who fit draw this tattoo for me well ??
106,19/08/24,"No matter how broke you are, learn not to accept offers that come with disrespect."
107,18/08/24,Make dem ban question 😏💨
108,18/08/24,"When you buy a used car, you have to pay the price for the damage done by others.

This is not just about cars."
109,18/08/24,Dem don win us 💨🛸
110,18/08/24,"Even if we don't win this game, I'm very very impressed with this new Chelsea…."
111,18/08/24,"So No pastor fit turn water to fuel, Omo I just Dey miss Jesus 💨🍿"
112,18/08/24,Mr Afraid accomplished nothing successfully
113,18/08/24,"Fine girl shey na relationship you want abi person wey go feed you..?

🙄🙄🙄🚶🚶🚶"
114,18/08/24,"You can't pay house rent on Earth, but you have mansions in Heaven, why not go home and rest."
115,18/08/24,"A fool at 40 don buy Benz at 41.

Hope dey!"
116,18/08/24,Who Dey give birth to all this baddies self 🤤💨
117,18/08/24,Na food you carry no be break pad oh 🤔
118,18/08/24,Riders and story 🫡
119,18/08/24,Some people don off data go sleep 🫡
120,17/08/24,Make them ban ex 🤦
121,17/08/24,Rafael Leao. SLOW and unserious footballer.
122,17/08/24,buy a less fuel consumption car Especially this period
123,17/08/24,Mama Jite na gangster don’t fuck 💨🛸🚀
124,16/08/24,"Just one connection with the right person can change your life for good.

May God connect you with that right person in Jesus name Amen."
125,16/08/24,Sometimes It's good to always lie to ppl to make dem feel happy
126,16/08/24,FYI! God will not punish anybody for not giving you their hard earned money
127,16/08/24,"Remember this when you wake up

""There is nothing you desire that someone isn't tired of”"
128,15/08/24,"Who collect the account, Pablo na you 🤦💨"
129,15/08/24,Nothing will kill you more than the weight of your own thoughts.
130,14/08/24,Make your own money and marry some one fun 💨🛸🏳️
131,14/08/24,There's so much silent work you have to put in that nobody will ever know about. That's where the true grind lives. Do it without any applause or any recognition.Do it for YOU.
132,14/08/24,We're so obsessed with dating and marrying financially stable partners in this generation that we forget to check if they are mentally and emotionally stable. If they're spiritually sound and have been raised right. If they know the value of family
133,13/08/24,Why government no fit ban fake love ?
